school_name,voluntary_contributions_2015,subject_contributions_2015
Narellan Vale Public School ,"$14,262",$0
Naremburn School ,$0,$425
Narooma High School ,"$14,913","$22,743"
Narooma Public School ,"$6,693",$0
Narrabeen Lakes Public School ,"$43,795",$0
Narrabeen North Public School ,"$20,153","$134,140"
Narrabeen Sports High School ,"$46,143","$77,596"
Narrabri High School ,"$20,430","$19,660"
Narrabri Public School ,"$5,280",$0
Narrabri West Public School ,"$5,781","$12,043"
Narrandera East Infants School ,"$3,381",$0
Narrandera High School ,"$5,110","$17,727"
Narrandera Public School ,$555,$0
Narranga Public School ,"$11,577",$0
Narraweena Public School ,"$18,457","$40,028"
Narromine High School ,"$8,301","$17,167"
Narromine Public School ,$0,$0
Narwee Public School ,"$2,350",$0
Nashdale Public School ,"$3,476","$2,243"
Nemingha Public School ,"$7,097",$0
Nepean Creative and Performing Arts High School ,"$37,821","$156,175"
Neutral Bay Public School ,"$181,070",$0
Neville Public School ,$450,$0
New Lambton Heights Infants School ,"$1,770","$3,000"
New Lambton Public School ,"$15,434",$0
New Lambton South Public School ,$0,"$8,700"
Newbridge Heights Public School ,"$31,660",$0
Newcastle East Public School ,"$8,275",$0
Newcastle High School ,"$33,615","$74,570"
Newcastle Junior School ,"$1,292",$143
Newcastle Middle School ,"$2,637",$0
Newcastle Senior School ,"$1,465",$0
Newington Public School ,"$25,655","$7,361"
Newling Public School ,$330,$0
Newport Public School ,"$30,375","$137,417"
Newrybar Public School ,"$1,231",$0
Newtown High School of Performing Arts ,"$175,194","$227,307"
Newtown North Public School ,"$20,580",$685
Newtown Public School ,"$14,559",$0
Niagara Park Public School ,$35,$0
Niangala Public School ,$140,$0
Nicholson Street Public School ,"$6,958","$9,526"
Niland School ,$0,$0
Nillo Infants School ,$780,$0
Nimbin Central School ,"$2,916","$4,490"
Nimmitabel Public School ,$0,$0
Nords Wharf Public School ,$0,$0
Normanhurst Boys High School ,"$148,903","$183,985"
Normanhurst Public School ,"$18,417",$0
Normanhurst West Public School ,"$33,579",$0
North East Public School of Distance Education - Port Macquarie Campus ,"$10,000",$0
North East School of Distance Education Casino Campus ,"$3,660",$0
North Gosford Learning Centre ,$450,$783
North Haven Public School ,"$13,919",$0
North Nowra Public School ,$955,$0
North Rocks Public School ,"$45,285",$0
North Ryde Public School ,$0,$0
North Star Public School ,$0,$0
North Sydney Boys High School ,"$184,808","$292,956"
North Sydney Girls High School ,"$181,990","$415,618"
North Sydney Public School ,"$48,980",$0
North Wagga Public School ,"$7,039","$5,180"
Northbridge Public School ,"$64,045","$56,926"
Northern Beaches Secondary College Balgowlah Boys Campus ,"$23,355","$162,767"
Northern Beaches Secondary College Cromer Campus ,"$63,865","$67,863"
Northern Beaches Secondary College Freshwater Senior Campus ,"$117,621","$147,357"
Northern Beaches Secondary College Mackellar Girls Campus ,"$144,974","$300,657"
Northern Beaches Secondary College Manly Campus ,"$435,371","$106,016"
Northern Border Senior Access Program ,$0,$0
Northlakes High School ,"$6,228","$81,721"
Northlakes Public School ,$335,$0
Northmead Creative and Performing Arts High School ,"$55,975","$137,674"
Northmead Public School ,"$24,993","$14,144"
Noumea Public School ,$150,$0
Nowendoc Public School ,$0,$0
Nowra East Public School ,$110,$0
Nowra High School ,"$42,687","$54,734"
Nowra Hill Public School ,"$2,413","$4,195"
Nowra Public School ,$0,$0
Nulkaba Public School ,$0,$0
Numeralla Public School ,$0,$315
Nundle Public School ,$0,$0
Nuwarra Public School ,"$7,581",$0
Nymboida Public School ,$380,$0
Nyngan High School ,"$2,600","$10,842"
Nyngan Public School ,$0,$0
Oak Flats High School ,"$11,453","$46,475"
Oak Flats Public School ,"$1,642",$0
Oakdale Public School ,"$1,144",$0
Oakhill Drive Public School ,"$79,031","$33,120"
Oaklands Central School ,"$1,425",$510
Oakville Public School ,"$12,340",$0
Oatlands Public School ,"$5,970","$4,557"
Oatley Public School ,"$23,356",$0
Oatley West Public School ,"$67,168",$0
Oberon High School ,"$7,830","$12,721"
Oberon Public School ,"$2,730",$535
Observatory Hill Environmental Education Centre ,$0,$780
Ocean Shores Public School ,"$3,999",$0
O'Connell Public School ,"$2,192",$0
Old Bar Public School ,"$3,935",$0
Old Bonalbo Public School ,$140,$0
Old Guildford Public School ,"$2,180",$0
Open High School ,"$218,025",$0
Orama Public School ,$0,$0
Oran Park Public School ,"$4,135","$9,839"
Orana Heights Public School ,$0,$0
Orange East Public School ,"$3,039",$0
Orange Grove Public School ,"$12,551",$0
Orange High School ,"$24,123","$56,002"
Orange Public School ,"$26,357",$0
Orara High School ,"$12,087","$20,099"
Orara Upper Public School ,$275,$0
Orchard Hills Public School ,"$1,815",$0
Otford Public School ,"$1,525",$0
Ourimbah Public School ,"$7,433","$15,335"
Oxley High School ,"$22,727","$68,185"
Oxley Island Public School ,$0,$0
Oxley Park Public School ,$225,$0
Oxley Vale Public School ,"$3,845",$0
Oyster Bay Public School ,"$37,858",$0
Pacific Palms Public School ,"$15,057",$0
Paddington Public School ,"$30,271","$1,035"
Padstow Heights Public School ,"$15,571","$28,567"
Padstow North Public School ,"$9,572",$0
Padstow Park Public School ,"$8,642",$0
Pagewood Public School ,"$7,802",$0
Palinyewah Public School ,$0,$0
Pallamallawa Public School ,$130,"$1,800"
Palm Avenue School ,$0,$0
Palmers Island Public School ,$0,$0
Pambula Public School ,$0,$0
Panania North Public School ,"$8,296",$0
Panania Public School ,"$15,290",$0
Para Meadows School ,"$5,430",$0
Parkes East Public School ,"$1,568","$2,222"
Parkes High School ,"$13,018","$35,140"
Parkes Public School ,$0,$0
Parklea Public School ,"$15,611",$509
Parkview Public School ,"$2,022",$0
Parramatta East Public School ,"$4,368",$0
Parramatta High School ,$800,"$106,566"
Parramatta North Public School ,"$3,625",$0
Parramatta Public School ,"$51,195",$0
Parramatta West Public School ,$0,$0
Parry School ,$0,$0
Passfield Park School ,"$1,031","$2,513"
Paterson Public School ,"$1,212",$0
Paxton Public School ,$530,$0
Peak Hill Central School ,$840,"$11,139"
Peakhurst Public School ,"$24,518","$37,007"
Peakhurst South Public School ,"$9,829",$0
Peakhurst West Public School ,"$11,247","$4,073"
Peats Ridge Public School ,"$1,088",$0
Peel High School ,"$12,024","$30,442"
Pelaw Main Public School ,"$1,178",$350
Pelican Flat Public School ,$0,$0
Pendle Hill High School ,"$10,023","$38,603"
Pendle Hill Public School ,"$4,556",$0
Pennant Hills High School ,"$206,925","$130,049"
Pennant Hills Public School ,"$66,313",$0
Penrith High School ,"$188,291","$45,180"
Penrith Lakes Environmental Education Centre ,"$3,757",$0
Penrith Public School ,"$6,142",$0
Penrith South Public School ,$550,$0
Penrith Valley Learning Centre ,$350,$0
Penrose Public School ,$0,$0
Penshurst Public School ,"$15,755",$0
Penshurst West Public School ,"$8,340","$19,812"
Perthville Public School ,"$4,537",$0
Peterborough School ,"$19,580",$0
Petersham Public School ,"$9,845",$0
Picnic Point High School ,"$64,280","$73,342"
Picnic Point Public School ,"$17,112",$0
Picton High School ,"$14,674","$62,036"
Picton Public School ,"$5,743",$0
Pilliga Public School ,$0,$0
Pitt Town Public School ,"$6,480",$0
Pittwater High School ,"$133,181","$223,754"
Plattsburg Public School ,"$4,047",$0
Pleasant Heights Public School ,"$8,040",$0
Pleasant Hills Public School ,$217,$0
Plumpton High School ,"$18,343","$46,499"
Plumpton House School ,$40,$0
Plumpton Public School ,"$12,123",$0
Plunkett Street Public School ,$0,$0
Point Clare Public School ,"$5,494","$1,078"
Pomona Public School ,$720,$0
Pooncarie Public School ,$0,$0
Port Hacking High School ,"$106,277","$130,718"
Port Kembla Public School ,$0,$0
Port Macquarie Public School ,"$4,973",$0
Portland Central School ,"$2,018","$3,098"
Pottsville Beach Public School ,"$6,885",$0
Prairievale Public School ,"$2,010",$0
Prairiewood High School ,"$72,227","$34,762"
Premer Public School ,$0,$585
Prestons Public School ,"$1,379",$0
Pretty Beach Public School ,"$3,759",$220
Primbee Public School ,"$2,889",$0
Punchbowl Boys High School ,"$4,485","$7,338"
Punchbowl Public School ,"$8,934",$0
Putland School ,$0,$0
Putney Public School ,"$26,120",$0
Pymble Public School ,"$179,185",$0
Quaama Public School ,"$1,010",$0
Quakers Hill East Public School ,"$10,128",$0
Quakers Hill High School ,"$33,990","$115,066"
Quakers Hill Public School ,"$24,851",$0
Quambone Public School ,$0,$0
Quandialla Central School ,$0,"$3,304"
Queanbeyan Distance Education Centre ,"$3,950",$0
Queanbeyan East Public School ,"$3,549",$10
Queanbeyan High School ,$44,"$14,056"
Queanbeyan Public School ,"$16,978","$3,840"
Queanbeyan South Public School ,$0,$0
Queanbeyan West Public School ,"$3,506",$0
Quirindi High School ,"$10,012","$17,426"
Quirindi Public School ,"$4,190",$0
Raglan Public School ,"$3,240",$567
Railway Town Public School ,"$1,060",$0
Rainbow Street Public School ,"$58,918",$0
Raleigh Public School ,$355,$636
Ramsgate Public School ,"$30,478",$0
Rand Public School ,$285,$0
Randwick Boys High School ,"$106,422","$14,872"
Randwick Girls High School ,"$112,904","$61,193"
Randwick Public School ,"$48,562",$0
Rankins Springs Public School ,$0,$0
Rappville Public School ,$0,$0
Rathmines Public School ,"$5,065","$20,773"
Raymond Terrace Public School ,"$2,365",$0
Red Hill Environmental Education Centre ,$0,$0
Red Range Public School ,"$3,627",$0
Redbank School ,$210,$0
Redhead Public School ,"$8,038","$14,562"
Regents Park Public School ,"$2,641",$0
Regentville Public School ,"$11,477",$0
Repton Public School ,$850,$0
Revesby Public School ,"$8,113",$0
Revesby South Public School ,"$10,309",$0
Richmond High School ,"$22,346","$54,753"
Richmond North Public School ,$972,"$3,284"
Richmond Public School ,"$12,143","$4,126"
Ringrose Public School ,"$7,754",$0
Rivendell School ,$0,$0
Riverbank Public School ,"$28,375",$0
Riverina Environmental Education Centre ,"$3,860",$0
Riverside Girls High School ,"$113,774","$105,619"
Riverstone High School ,"$7,112","$22,301"
Riverstone Public School ,"$1,215",$0
Riverwood Public School ,$0,$0
Robert Townson High School ,"$14,486","$38,985"
Robert Townson Public School ,"$4,317",$0
Robertson Public School ,$0,$0
Rockdale Public School ,"$8,130","$6,155"
Rockley Public School ,$0,$0
Rocky River Public School ,$0,$0
Rollands Plains Upper Public School ,$137,$235
Rooty Hill High School ,$0,$0
Rooty Hill Public School ,"$6,250",$0
Ropes Crossing Public School ,$0,$0
Rose Bay Public School ,"$69,335",$0
Rose Bay Secondary College ,"$102,831","$83,429"
Rosebank Public School ,"$2,192",$30
Rosehill Public School ,"$6,390",$0
Roselea Public School ,"$12,928",$0
Rosemeadow Public School ,$0,$0
Roseville Public School ,$0,"$5,042"
Rosewood Public School ,$0,$0
Ross Hill Public School ,"$15,161",$0
Rossmore Public School ,$655,$0
Rouchel Public School ,$0,$0
Rous Public School ,"$3,050",$170
Rouse Hill High School ,"$36,046","$49,741"
Rouse Hill Public School ,"$27,855",$0
Rowena Public School ,$0,"$2,700"
Rowland Hassall School ,$0,$0
Royal Far West School ,$0,$0
Royal National Park Environmental Education Centre ,$0,$0
Royal North Shore Hospital School ,$0,$0
Royal Prince Alfred Hospital School ,$0,$0
Rozelle Public School ,"$19,846","$29,749"
Rugby Public School ,$0,$0
Rukenvale Public School ,$0,$0
Rumbalara Environmental Education Centre ,"$8,825",$0
Ruse Public School ,"$2,982",$0
Russell Lea Infants School ,"$3,480",$0
Russell Vale Public School ,"$2,148",$0
Rutherford High School ,"$8,353","$83,230"
Rutherford Public School ,$0,"$3,986"
Rydalmere East Public School ,"$2,960",$0
Rydalmere Public School ,"$2,645",$0
Ryde East Public School ,"$35,925","$33,278"
Ryde Public School ,"$50,006",$0
Ryde Secondary College ,"$131,543","$88,441"
Rye Park Public School ,$549,$0
Rylstone Public School ,"$1,445",$0
Sackville Street Public School ,$28,$0
Sadleir Public School ,"$2,520",$0
Salt Ash Public School ,$0,$0
Samuel Gilbert Public School ,$0,$674
Samuel Terry Public School ,"$5,170","$4,563"
Sanctuary Point Public School ,$130,$0
Sandon Public School ,"$6,793",$0
Sandy Beach Public School ,"$3,665",$0
Sandy Hollow Public School ,$394,$0
Sans Souci Public School ,"$35,412",$0
Sarah Redfern High School ,"$13,744","$20,190"
Sarah Redfern Public School ,"$2,789",$0
Savernake Public School ,$0,$0
Sawtell Public School ,"$7,367","$16,032"
Scarborough Public School ,"$2,885",$0
Schofields Public School ,"$9,427",$0
School of the Air - Broken Hill Campus ,"$2,205","$2,880"
School of the Air - Hay Campus ,$713,$0
Scone High School ,"$18,997","$26,967"
Scone Public School ,"$6,901","$9,330"
Scotts Head Public School ,"$2,450","$1,877"
Seaforth Public School ,"$87,126","$3,671"
Seaham Public School ,"$3,320",$0
Sefton High School ,"$104,724","$34,336"
Sefton Infants School ,"$2,900",$0
Seven Hills High School ,"$12,650","$18,517"
Seven Hills North Public School ,"$3,462",$0
Seven Hills Public School ,"$5,325",$0
Seven Hills West Public School ,$915,$0
Shalvey Public School ,$0,$0
Shell Cove Public school ,"$2,562",$0
Shelley Public School ,"$6,779",$0
Shellharbour Public School ,"$11,069",$0
Shepherds Park School ,$0,$0
Sherwood Grange Public School ,$130,$0
Sherwood Ridge Public School ,"$44,964",$0
Shoal Bay Public School ,$0,"$21,228"
Shoalhaven Heads Public School ,$879,$0
Shoalhaven High School ,$0,"$33,895"
Shortland Public School ,$0,$0
Singleton Heights Public School ,"$4,175",$534
Singleton High School ,"$38,677","$110,298"
Singleton Public School ,"$11,327",$0
Sir Eric Woodward Memorial School ,"$92,584",$0
Sir Joseph Banks High School ,"$16,331","$38,704"
Smithfield Public School ,$290,$0
Smithfield West Public School ,"$5,245",$0
Smiths Hill High School ,"$57,331","$83,808"
Smithtown Public School ,$960,$0
Sofala Public School ,$0,$0
Soldiers Point Public School ,$0,$0
Somersby Public School ,$0,"$1,709"
Somerton Public School ,$210,$37
South Coogee Public School ,"$13,046","$13,240"
South Grafton High School ,"$9,841","$37,690"
South Grafton Public School ,"$1,785",$0
South Sydney High School ,"$32,578","$30,999"
South Wagga Public School ,"$3,541","$6,783"
South West Rocks Public School ,"$1,316",$0
Southern Cross Distance Education Centre ,"$31,762","$39,579"
Southern Cross School ,"$34,367","$56,835"
Speers Point Public School ,$540,$0
Spencer Public School ,$0,$0
Spring Hill Public School ,$0,$0
Spring Ridge Public School ,$554,$279
Spring Terrace Public School ,$480,$0
Springdale Heights Public School ,$0,$0
Springwood High School ,"$25,464","$34,849"
Springwood Public School ,"$11,260",$0
St Andrews Public School ,$0,"$6,805"
St Clair High School ,"$30,398","$81,694"
St Clair Public School ,"$2,672",$0
St George Girls High School ,"$236,839","$81,922"
St George Hospital School ,$0,$0
St George School ,$0,$0
St Georges Basin Public School ,"$7,700",$0
St Helens Park Public School ,"$1,560",$0
St Ives High School ,"$114,458","$151,706"
St Ives North Public School ,"$11,856","$229,787"
St Ives Park Public School ,"$7,150","$3,839"
St Ives Public School ,$0,"$36,943"
St Johns Park High School ,"$48,250","$40,038"
St Johns Park Public School ,"$11,002",$0
St Marys North Public School ,$0,$0
St Marys Public School ,$0,$0
St Marys Senior High School ,"$72,245","$50,834"
St Marys South Public School ,"$1,785",$0
St Peters Public School ,$840,"$1,275"
Stanford Merthyr Infants School ,$0,$0
Stanmore Public School ,"$46,198",$0
Stanwell Park Public School ,"$3,848",$0
Stewart House School ,$0,$0
Stockinbingal Public School ,$210,$0
Stockton Public School ,"$4,212",$0
Stokers Siding Public School ,$834,$0
Stratford Public School ,$0,$0
Stratheden Public School ,$0,$0
Strathfield Girls High School ,"$174,346","$107,486"
Strathfield North Public School ,"$29,080",$0
Strathfield South High School ,$0,"$57,677"
Strathfield South Public School ,"$56,272",$0
Stroud Public School ,$0,$0
Stroud Road Public School ,$0,$0
Stuart Town Public School ,$0,$0
Stuarts Point Public School ,$580,$0
Sturt Public School ,"$4,897",$0
Summer Hill Public School ,"$61,358","$29,115"
Sunning Hill School ,$0,$0
Sunshine Bay Public School ,"$3,238",$0
Surveyors Creek Public School ,"$4,994",$0
Sussex Inlet Public School ,"$2,326",$0
Sutherland Hospital School ,$0,$0
Sutherland North Public School ,"$8,084",$0
Sutherland Public School ,$0,$0
Sutton Forest Public School ,$0,$0
Sutton Public School ,$0,$0
Swansea High School ,"$23,713","$38,843"
Swansea Public School ,"$3,519",$0
Sydney Boys High School ,"$1,337,569","$1,553"
Sydney Childrens Hospital School ,$0,$0
Sydney Distance Education High School ,"$155,338","$15,617"
Sydney Distance Education Primary School ,"$9,050",$0
Sydney Girls High School ,"$309,431","$191,615"
Sydney Secondary College Balmain Campus ,"$89,347","$72,173"
Sydney Secondary College Blackwattle Bay Campus ,$0,"$224,161"
Sydney Secondary College Leichhardt Campus ,"$52,613","$91,067"
Sydney Technical High School ,"$117,303","$127,435"
Sylvania Heights Public School ,"$41,562","$7,072"
Sylvania High School ,"$55,690","$81,326"
Sylvania Public School ,"$3,839",$0
Table Top Public School ,"$2,655",$881
Tabulam Public School ,$0,$0
Tacking Point Public School ,"$23,255",$0
Tacoma Public School ,"$1,780",$0
Tahmoor Public School ,"$1,010",$0
Talbingo Public School ,$0,$0
Tallimba Public School ,$226,$0
Tallong Public School ,$0,$20
Tallowood School ,"$5,335",$0
Tambar Springs Public School ,$0,$0
Tamworth High School ,"$20,520","$28,963"
Tamworth Public School ,"$24,754",$0
Tamworth South Public School ,"$5,905",$0
Tamworth West Public School ,$0,$0
Tangara School ,$315,$0
Tanilba Bay Public School ,"$3,904",$0
Tanja Public School ,$0,$0
Tarago Public School ,$0,$0
Taralga Public School ,$0,$0
Tarcutta Public School ,$150,$0
Taree High School ,"$19,379","$64,583"
Taree Public School ,$0,$0
Taree West Public School ,"$3,475",$0
Taren Point Public School ,"$1,962","$4,847"
Tarrawanna Public School ,$745,$0
Tarro Public School ,$0,$0
Tathra Public School ,"$7,827",$0
Taverners Hill Infants School ,"$9,580",$0
Tea Gardens Public School ,"$2,806",$0
Telarah Public School ,$0,$0
Telegraph Point Public School ,"$2,242",$0
Telopea Public School ,$520,$0
Temora High School ,"$19,745","$30,102"
Temora Public School ,"$4,099",$0
Temora West Public School ,$0,$0
Tempe High School ,"$70,939","$120,234"
Tempe Public School ,"$11,728",$0
Tenambit Public School ,"$5,657",$0
Tenterfield High School ,"$5,020","$8,887"
Teralba Public School ,"$1,003",$0
Terara Public School ,"$4,096",$0
Terranora Public School ,"$11,529","$13,185"
Terrey Hills Public School ,$0,"$27,234"
Terrigal High School ,"$57,589","$69,088"
Terrigal Public School ,"$19,062",$0
Teven-Tintenbar Public School ,"$7,640",$0
Thalgarrah Environmental Education Centre ,$0,$0
Tharawal Public School ,$0,$0
Tharbogang Public School ,$0,$0
The Beach School ,$0,$30
The Bidgee School ,$0,$569
The Channon Public School ,$129,$0
The Childrens Hospital School ,$0,$0
The Crescent School ,"$2,997","$1,349"
The Entrance Public School ,$300,$130
The Forest High School ,"$189,421","$163,452"
The Grange Public School ,$410,$0
The Henry Lawson High School ,"$7,929","$4,660"
The Hills School ,"$5,900","$1,243"
The Hills Sports High School ,"$30,503","$64,305"
The Jannali High School ,"$61,393","$98,549"
The Junction Public School ,"$21,939",$0
The Meadows Public School ,"$1,449",$0
The Oaks Public School ,"$7,116",$0
The Pocket Public School ,$938,$0
The Ponds High School ,"$13,398","$20,347"
The Ponds School ,"$6,035",$0
The Risk Public School ,$0,$0
"The Rivers Secondary College, Kadina High Campus ","$2,874","$33,738"
"The Rivers Secondary College, Lismore High Campus ","$7,438","$12,643"
"The Rivers Secondary College, Richmond River High Campus ","$815,718","$70,090"
The Rock Central School ,"$1,569","$1,111"
The Sir Henry Parkes Memorial Public School ,"$1,780",$0
Thirlmere Public School ,$0,$0
Thirroul Public School ,"$11,204",$0
Thomas Acres Public School ,"$2,795",$0
Thomas Reddall High School ,"$17,520","$48,456"
Thornleigh West Public School ,"$30,030","$70,123"
Thornton Public School ,"$7,487","$2,590"
Thurgoona Public School ,"$7,158",$463
Tibooburra Outback Public School ,$0,$0
Tighes Hill Public School ,"$3,568",$0
Timbumburi Public School ,"$1,800",$0
Tingha Public School ,$0,$370
Tinonee Public School ,"$3,751",$0
Tintinhull Public School ,$0,$0
Tirranna Public School ,$0,"$1,175"
Tocumwal Public School ,"$2,320",$0
Tolland Public School ,$750,$0
Tomaree High School ,"$33,505","$51,258"
Tomaree Public School ,"$2,880",$0
Tomerong Public School ,"$1,403",$0
Tooleybuc Central School ,"$3,419","$1,283"
Toomelah Public School ,$0,$0
Toongabbie East Public School ,$0,$0
Toongabbie Public School ,"$20,824",$0
Toongabbie West Public School ,$0,$0
Tooraweenah Public School ,$640,$0
Toormina High School ,"$8,536","$10,984"
Toormina Public School ,"$2,995",$0
Toronto High School ,"$24,014","$98,421"
Toronto Public School ,$435,$0
Tottenham Central School ,"$2,106",$660
Toukley Public School ,$60,$0
Towamba Public School ,$0,$26
Tower Street Public School ,"$4,135",$0
Towradgi Public School ,$0,$0
Trangie Central School ,"$2,463","$8,458"
Tregeagle Public School ,"$2,546",$0
Tregear Public School ,$0,$0
Trundle Central School ,"$2,790","$2,660"
Trunkey Public School ,$0,$0
Truscott Street Public School ,$0,"$39,116"
Tucabia Public School ,$0,$0
Tuggerah Lakes Secondary College Berkeley Vale Campus ,"$22,248","$49,490"
Tuggerah Lakes Secondary College The Entrance Campus ,"$37,295","$54,434"
Tuggerah Lakes Secondary College Tumbi Umbi Campus ,"$45,275","$70,477"
Tuggerah Public School ,"$12,883",$0
Tuggerawong Public School ,"$1,035",$0
Tullamore Central School ,"$1,400","$2,947"
Tullibigeal Central School ,"$1,335",$310
Tullimbar Public School ,"$4,650",$0
Tulloona Public School ,$0,$0
Tumbarumba High School ,"$3,465","$7,376"
Tumbarumba Public School ,"$1,170",$0
Tumbulgum Public School ,$360,$0
Tumut High School ,"$15,226","$35,013"
Tumut Public School ,"$7,396",$0
Tuncurry Public School ,"$6,268","$1,458"
Tuntable Creek Public School ,$0,$0
Turramurra High School ,"$132,049","$157,439"
Turramurra North Public School ,"$85,931","$4,605"
Turramurra Public School ,"$10,909","$73,555"
Turvey Park Public School ,"$2,868",$0
Tweed Heads Public School ,"$2,660",$0
Tweed Heads South Public School ,"$2,178",$665
Tweed River High School ,"$23,762","$123,031"
Tyalgum Public School ,$260,$0
Tyalla Public School ,"$1,260",$0
Uki Public School ,"$2,753",$550
Ulan Public School ,$118,$0
Ulladulla High School ,"$27,762","$99,973"
Ulladulla Public School ,"$7,834",$0
Ulmarra Public School ,"$1,281",$0
Ulong Public School ,$60,$0
Ultimo Public School ,"$4,620","$19,875"
Umina Beach Public School ,"$9,572","$32,079"
Unanderra Public School ,$0,$557
Undercliffe Public School ,"$4,907",$0
Ungarie Central School ,"$1,790",$0
Upper Coopers Creek Public School ,$40,$168
Upper Lansdowne Public School ,$270,$0
Uralla Central School ,"$4,434","$4,873"
Urana Public School ,$100,$0
Uranquinty Public School ,$820,$0
Urbenville Public School ,$540,$0
Urunga Public School ,"$4,162","$1,032"
Vacy Public School ,"$2,950",$0
Valentine Public School ,"$16,858",$0
Valley View Public School ,"$3,633",$0
Vardys Road Public School ,"$8,161",$0
Vaucluse Public School ,"$21,497","$36,789"
Verona School ,$0,$0
Victoria Avenue Public School ,"$1,851",$0
Villawood East Public School ,"$2,711","$1,188"
Villawood North Public School ,"$2,978",$0
Vincentia High School ,$0,"$77,904"
Vincentia Public School ,"$4,340",$0
Vineyard Public School ,"$1,550",$0
Wadalba Community School ,"$9,761","$79,704"
Wade High School ,"$36,056","$36,918"
Wagga Wagga High School ,"$35,884","$50,759"
Wagga Wagga Public School ,"$6,790",$910
Wahroonga Public School ,"$80,955","$73,112"
Wairoa School ,$0,$0
Waitara Public School ,"$88,618","$5,291"
Wakefield School ,$0,$0
Wakehurst Public School ,$0,"$20,977"
Wakool Burrabol Public School ,$0,$0
Walbundrie Public School ,$360,$0
Walcha Central School ,"$7,215","$12,188"
Walgett Community College - High School ,"$5,698","$1,125"
Walgett Community College - Primary School ,$0,$0
Walhallow Public School ,$0,$0
Walla Walla Public School ,$832,$0
Wallabadah Public School ,$0,$0
Wallacia Public School ,"$1,477",$0
Wallendbeen Public School ,$0,$0
Wallerawang Public School ,"$3,180",$102
Wallsend Public School ,"$2,570",$0
Wallsend South Public School ,$0,$0
Walters Road Public School ,"$12,104",$0
Wambangalang Environmental Education Centre ,"$33,554",$0
Wamberal Public School ,"$16,835",$0
Wamoon Public School ,$25,$0
Wanaaring Public School ,$0,$0
Wangee Park School ,$0,$0
Wangi Wangi Public School ,"$1,852",$0
Waniora Public School ,"$5,886",$0
Waratah Public School ,"$11,707",$0
Waratah West Public School ,$438,$0
Wardell Public School ,$60,$0
Warialda High School ,"$7,433","$20,312"
Warialda Public School ,"$3,457",$0
Warilla High School ,"$23,487","$46,648"
Warilla North Public School ,$0,$0
Warilla Public School ,"$2,640",$0
Warners Bay High School ,"$50,458","$279,389"
Warners Bay Public School ,"$6,445","$26,359"
Warnervale Public School ,"$5,847",$0
Warragamba Public School ,$0,$0
Warrawee Public School ,"$137,583",$0
Warrawong High School ,"$11,552","$27,060"
Warrawong Intensive English Centre ,"$1,640",$616
Warrawong Public School ,"$1,643",$0
Warren Central School ,"$1,798","$7,004"
Warrimoo Public School ,$782,$0
Warrumbungle National Park Environmental Education Centre ,"$18,690",$0
Warwick Farm Public School ,"$3,010",$0
Waterfall Public School ,$573,$0
Wattawa Heights Public School ,"$12,413",$0
Wattle Flat Public School ,$0,$0
Wattle Grove Public School ,$0,$0
Wauchope High School ,"$19,819","$32,006"
Wauchope Public School ,$0,$0
Waverley Public School ,"$7,210","$15,404"
Wee Jasper Public School ,$0,$0
Wee Waa High School ,"$1,900","$3,017"
Wee Waa Public School ,$0,$0
Weethalle Public School ,$0,$0
Weilmoringle Public School ,$0,$0
Wellington High School ,"$5,473","$22,234"
Wellington Public School ,$460,"$6,334"
Wentworth Falls Public School ,"$5,312",$0
Wentworth Public School ,"$1,557","$3,231"
Wentworthville Public School ,"$14,184",$0
Werrington County Public School ,$0,"$4,134"
Werrington Public School ,"$5,704",$0
Werris Creek Public School ,$860,$95
West Pennant Hills Public School ,"$25,338","$29,962"
West Pymble Public School ,"$12,245",$0
West Ryde Public School ,"$17,558","$15,412"
West Wallsend High School ,"$8,866","$25,899"
West Wallsend Public School ,$0,$0
West Wyalong High School ,"$7,438","$17,962"
West Wyalong Public School ,"$3,527",$0
Westdale Public School ,"$1,310",$0
Westfields Sports High School ,"$133,160","$144,991"
Westlawn Public School ,"$9,480","$1,842"
Westmead Public School ,"$91,805",$0
Weston Public School ,$320,$0
Westport Public School ,"$1,977",$0
Wetlands Environmental Education Centre ,$0,$0
Wewak Street School ,$0,$0
Whalan Public School ,$0,$0
Wheeler Heights Public School ,"$19,679",$0
Whian Whian Public School ,$0,$0
White Cliffs Public School ,$0,$0
Whitebridge High School ,"$36,056","$64,372"
Whitton Public School ,$0,$0
Wiangaree Public School ,$0,$471
Widemere Public School ,"$8,575",$0
Wideview Public School ,"$6,063","$34,570"
Wilberforce Public School ,"$8,577",$0
Wilcannia Central School ,$0,$0
Wiley Park Girls High School ,"$20,480","$14,329"
Wiley Park Public School ,$0,$0
Wilkins Public School ,"$25,340",$0
Willans Hill School ,$0,$0
Willawarrin Public School ,$160,$0
William Bayldon Public School ,$800,$0
William Dean Public School ,"$2,560",$0
William Rose School ,"$4,695",$0
William Stimson Public School ,"$9,425",$0
Willmot Public School ,$0,$0
Willoughby Girls High School ,"$110,835","$41,653"
Willoughby Public School ,"$203,485",$0
Willow Tree Public School ,$0,$0
Willyama High School ,"$10,418","$20,371"
Wilson Park School ,$360,$0
Wilsons Creek Public School ,"$1,275",$0
Wilton Public School ,"$6,627",$0
Windale Public School ,$0,$0
Windang Public School ,"$7,470",$0
