school_name,voluntary_contributions_2015,subject_contributions_2015
Chifley College Bidwill Campus ,$0,"$21,322"
Chifley College Dunheved Campus ,"$2,475","$14,504"
Chifley College Mount Druitt Campus ,$0,"$28,768"
Chifley College Senior Campus ,"$31,592","$38,336"
Chifley College Shalvey Campus ,"$3,742","$9,361"
Chifley Public School ,"$3,775",$0
Chillingham Public School ,$0,$0
Chipping Norton Public School ,"$15,235",$0
Chittaway Bay Public School ,"$21,245",$0
Chullora Public School ,"$1,468","$5,477"
Clairgate Public School ,"$4,969",$0
Clare Public School ,$0,$0
Claremont Meadows Public School ,"$7,367",$0
Clarence Town Public School ,"$1,576",$0
Clarke Road School ,"$3,450","$13,699"
Claymore Public School ,$160,$0
Clemton Park Public School ,"$19,663","$2,580"
Clergate Public School ,"$2,030",$0
Cleveland Street Intensive English High School ,$0,$0
Clovelly Public School ,"$63,370","$41,948"
Clunes Public School ,"$1,917",$0
Coal Point Public School ,"$10,207",$0
Cobar High School ,"$4,808","$17,376"
Cobar Public School ,"$1,015",$0
Cobargo Public School ,$535,$0
Cobbitty Public School ,"$5,438",$0
Coffee Camp Public School ,"$1,610",$0
Coffs Harbour High School ,"$17,786","$58,195"
Coffs Harbour Learning Centre ,$0,$83
Coffs Harbour Public School ,"$1,275",$0
Coffs Harbour Senior College ,"$20,278","$17,170"
Coleambally Central School ,"$4,598","$4,655"
Coledale Public School ,"$2,696",$0
Collarenebri Central School ,$0,$0
Collaroy Plateau Public School ,"$103,186",$0
Collector Public School ,$0,$620
Collingullie Public School ,$0,$0
Collins Creek Public School ,"$1,392",$0
Colo Heights Public School ,$0,"$3,094"
Colo High School ,"$31,215","$104,362"
Colo Vale Public School ,"$3,588",$0
Colyton High School ,"$12,045","$44,320"
Colyton Public School ,"$1,947",$0
Comboyne Public School ,$380,$0
Comleroy Road Public School ,$90,$0
Como Public School ,"$3,474",$0
Como West Public School ,"$14,486",$0
Conargo Public School ,$0,$0
Concord High School ,"$93,581","$74,200"
Concord Public School ,"$13,780",$0
Concord West Public School ,"$11,475","$35,493"
Condell Park High School ,$563,"$84,510"
Condell Park Public School ,"$6,484","$30,203"
Condobolin High School ,"$3,427","$7,783"
Condobolin Public School ,"$2,505",$0
Condong Public School ,"$1,632",$0
Congewai Public School ,$80,$0
Coniston Public School ,$0,$0
Connells Point Public School ,"$20,120",$0
Conservatorium High School ,$0,"$15,825"
Cooerwull Public School ,"$4,394",$0
Coogee Public School ,"$17,115","$84,984"
Cook School ,$0,$334
Coolah Central School ,"$2,840","$9,339"
Coolamon Central School ,"$8,935","$5,193"
Coolongolook Public School ,$200,$0
Cooma North Public School ,"$1,963",$0
Cooma Public School ,"$3,956",$0
Coomealla High School ,"$8,544","$19,544"
Coonabarabran High School ,"$9,585","$6,662"
Coonabarabran Public School ,"$2,940",$0
Coonamble High School ,"$1,271","$3,350"
Coonamble Public School ,$20,$0
Coopernook Public School ,$120,$0
Coorabell Public School ,"$2,485","$7,383"
Cooranbong Public School ,"$1,544",$0
Cootamundra High School ,"$3,495","$5,126"
Cootamundra Public School ,$0,$0
Copacabana Public School ,"$5,822","$4,045"
Copmanhurst Public School ,$680,$0
Coraki Public School ,$215,$0
Coramba Public School ,$500,$0
Coreen School ,$0,$0
Corindi Public School ,"$1,408",$0
Corinella Public School ,$0,$0
Corndale Public School ,$55,$0
Corowa High School ,"$17,279","$17,062"
Corowa Public School ,"$4,354",$0
Corowa South Public School ,$625,$160
Corrimal East Public School ,"$4,195",$0
Corrimal High School ,"$7,437","$4,188"
Corrimal Public School ,"$2,010",$0
Coutts Crossing Public School ,"$1,287",$0
Cowan Public School ,"$1,379","$2,477"
Cowper Public School ,$0,$0
Cowra High School ,"$14,121","$30,148"
Cowra Public School ,"$3,942",$0
Crabbes Creek Public School ,$690,$589
Cranebrook High School ,"$11,046","$29,395"
Crawford Public School ,"$1,545",$0
Crescent Head Public School ,"$3,525",$0
Crestwood High School ,"$78,552","$163,484"
Crestwood Public School ,"$29,028",$0
Cringila Public School ,$0,$0
Cromehurst School ,$0,$0
Cromer Public School ,"$73,414","$50,947"
Cronulla High School ,"$53,125","$173,933"
Cronulla Public School ,"$10,018",$0
Cronulla South Public School ,$0,$0
Crookwell High School ,"$12,713","$13,323"
Crookwell Public School ,"$6,665",$0
Croppa Creek Public School ,$0,$247
